epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9269,1.37964,6.96581,1.45801,0.16808,0.2,0.0607,0.04769,1.40529,13.8468,1.26722,2e-05,2e-05,2e-05
2,29.8298,1.17493,4.95622,1.34197,0.12544,0.8,0.12377,0.09055,1.11167,13.1522,1.08808,5.901e-05,5.901e-05,5.901e-05
3,43.6139,1.05374,3.82242,1.19312,0.32481,0.6,0.29017,0.231,1.06338,10.9562,1.08611,9.67e-05,9.67e-05,9.67e-05
4,57.2546,0.82043,3.75677,1.01894,0.49178,0.9704,0.4975,0.3681,1.01938,10.8094,0.98104,0.00013307,0.00013307,0.00013307
5,70.8837,0.74625,2.99166,0.9292,0.48966,0.6,0.46275,0.36875,0.88716,11.5336,0.86525,0.00016812,0.00016812,0.00016812
6,84.5809,0.62508,2.51791,0.91357,0.46216,0.6,0.34171,0.25896,0.80154,12.5105,0.85574,0.00020185,0.00020185,0.00020185
7,98.1279,0.64516,2.18303,0.86854,0.49695,1,0.4975,0.45166,0.50387,8.98476,0.70814,0.00023426,0.00023426,0.00023426
8,111.662,0.70429,1.78466,0.90166,0.49887,1,0.85333,0.77451,0.52719,7.4403,0.70156,0.00026535,0.00026535,0.00026535
9,125.116,0.68631,1.62503,0.86953,0.49453,1,0.80929,0.72146,0.62622,7.08631,0.72899,0.00029512,0.00029512,0.00029512
10,138.553,0.70893,1.30244,0.89418,0.5083,1,0.76722,0.61867,0.71722,6.51992,0.76965,0.00032357,0.00032357,0.00032357
11,151.882,0.76728,1.43864,0.92418,0.64301,0.8,0.815,0.69553,0.68705,6.24828,0.76282,0.0003507,0.0003507,0.0003507
12,165.4,0.74467,1.35597,0.90238,0.54215,0.8,0.76924,0.62881,0.60564,6.98314,0.76516,0.00037651,0.00037651,0.00037651
13,178.9,0.62807,1.09287,0.88122,1,0.59334,0.76167,0.65562,0.48793,6.75243,0.71855,0.000401,0.000401,0.000401
14,192.536,0.62324,1.02867,0.89289,0.98178,0.6,0.795,0.68485,0.56326,5.4013,0.74169,0.00042417,0.00042417,0.00042417
15,205.811,0.74508,1.13778,0.9141,0.94489,0.4,0.72682,0.61822,0.59175,5.13278,0.72409,0.00044602,0.00044602,0.00044602
16,219.459,0.69149,0.97534,0.91049,0.78567,0.74267,0.815,0.66578,0.62887,5.07915,0.73233,0.00046655,0.00046655,0.00046655
17,232.983,0.61497,0.82566,0.87586,0.6265,0.8,0.84,0.69442,0.65661,4.87277,0.7517,0.00048576,0.00048576,0.00048576
18,246.551,0.68616,0.78442,0.90249,0.60208,1,0.84,0.68224,0.7652,4.51238,0.77497,0.00050365,0.00050365,0.00050365
19,260.03,0.69046,0.84998,0.88382,0.63254,0.8,0.72833,0.55788,0.79992,4.86533,0.80672,0.00052022,0.00052022,0.00052022
20,273.648,0.74139,0.8612,0.93138,0.43527,0.8,0.63167,0.53341,0.84691,5.53844,0.86681,0.00053547,0.00053547,0.00053547
21,287.074,0.77413,0.8162,0.94572,0.49228,1,0.8204,0.70441,0.83922,5.35021,0.8731,0.0005494,0.0005494,0.0005494
22,301.729,0.73203,0.7322,0.90286,0.58707,1,0.845,0.73551,0.75562,5.29459,0.88884,0.00056201,0.00056201,0.00056201
23,315.567,0.72164,0.71756,0.91289,0.61376,1,0.83071,0.71736,0.69036,4.38862,0.85917,0.0005733,0.0005733,0.0005733
24,329.39,0.73816,0.7639,0.92193,0.70275,0.95155,0.85786,0.75223,0.7047,4.37459,0.88625,0.00058327,0.00058327,0.00058327
25,343.028,0.68469,0.68579,0.92442,0.61094,1,0.82357,0.72123,0.72737,3.56843,0.88455,0.00059192,0.00059192,0.00059192
26,356.466,0.66455,0.63708,0.89118,0.68963,1,0.85786,0.78175,0.71279,3.58856,0.9097,0.00059925,0.00059925,0.00059925
27,370.346,0.66947,0.60964,0.95195,0.54354,1,0.795,0.70194,0.71217,3.34375,0.90235,0.00060526,0.00060526,0.00060526
28,384.021,0.6624,0.63392,0.94546,0.54354,1,0.795,0.70194,0.71217,3.34375,0.90235,0.00060995,0.00060995,0.00060995
29,397.704,0.75851,0.73504,0.97085,0.60753,1,0.795,0.67576,0.6132,3.18482,0.8532,0.00061332,0.00061332,0.00061332
30,411.59,0.65359,0.62056,0.87829,0.54885,1,0.795,0.67576,0.68507,2.85938,0.81079,0.00061537,0.00061537,0.00061537
31,425.307,0.65995,0.62892,0.93555,0.54885,1,0.795,0.67576,0.68507,2.85938,0.81079,0.0006161,0.0006161,0.0006161
32,438.95,0.68797,0.62078,0.94444,0.61458,1,0.795,0.7155,0.6447,2.44904,0.8015,0.00061551,0.00061551,0.00061551
33,452.57,0.63124,0.62589,0.94058,0.61292,0.9549,0.80333,0.72789,0.58928,2.11455,0.74432,0.0006136,0.0006136,0.0006136
