epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0977,1.11186,7.89131,1.23547,0.25853,0.4,0.29443,0.26293,0.73366,6.09318,1.02601,0,0,0
2,21.1197,0.87462,5.69102,1.21912,0.84187,0.4,0.58198,0.49469,0.71068,5.484,1.02223,1.967e-05,1.967e-05,1.967e-05
3,30.7146,0.76069,6.57125,1.08334,1,0.79525,0.8509,0.69816,0.65199,4.73999,0.98253,3.868e-05,3.868e-05,3.868e-05
4,40.6157,0.63864,4.36467,1.05013,0.99966,1,0.995,0.7957,0.72714,4.29208,0.96393,5.703e-05,5.703e-05,5.703e-05
5,50.2702,0.57777,4.04559,0.99761,0.99371,1,0.995,0.79354,0.86662,4.39996,0.95239,7.472e-05,7.472e-05,7.472e-05
6,59.9536,0.56756,3.93381,0.99032,0.99353,1,0.995,0.78365,0.87591,4.53184,0.93866,9.175e-05,9.175e-05,9.175e-05
7,69.7935,0.56714,3.43043,0.98176,0.99277,1,0.995,0.77981,0.76208,4.81208,0.90523,0.00010812,0.00010812,0.00010812
8,79.6472,0.40738,2.72585,0.86116,0.99247,1,0.995,0.75758,0.6768,4.87118,0.89325,0.00012383,0.00012383,0.00012383
9,89.3741,0.42038,2.4475,0.83444,0.99272,1,0.995,0.79805,0.56874,4.55115,0.83864,0.00013888,0.00013888,0.00013888
10,99.06,0.36889,2.5669,0.81104,0.99237,1,0.995,0.83317,0.39785,4.09186,0.76463,0.00015327,0.00015327,0.00015327
11,108.694,0.32696,1.78274,0.8156,0.98533,1,0.995,0.8702,0.28323,3.72376,0.71455,0.000167,0.000167,0.000167
12,118.391,0.37655,2.4,0.83747,0.98533,1,0.995,0.95775,0.2988,3.31665,0.69989,0.00018007,0.00018007,0.00018007
13,128.088,0.3638,2.74025,0.81571,0.99071,1,0.995,0.94937,0.32971,3.45237,0.69966,0.00019248,0.00019248,0.00019248
14,137.596,0.45278,2.06869,0.82836,0.99335,1,0.995,0.95787,0.32985,3.40883,0.709,0.00020423,0.00020423,0.00020423
15,147.305,0.41744,1.79698,0.82531,0.99448,1,0.995,0.98102,0.30027,3.43588,0.71754,0.00021532,0.00021532,0.00021532
16,157.07,0.38132,1.41251,0.8063,0.9942,1,0.995,0.95618,0.36769,3.64233,0.72271,0.00022575,0.00022575,0.00022575
17,166.638,0.40325,1.66333,0.81148,0.99356,1,0.995,0.93297,0.38534,3.77494,0.71775,0.00023552,0.00023552,0.00023552
18,176.315,0.35896,1.43977,0.78007,0.99356,1,0.995,0.93297,0.38534,3.77494,0.71775,0.00024463,0.00024463,0.00024463
19,185.94,0.41642,1.25159,0.80283,0.99341,1,0.995,0.92029,0.3554,3.61129,0.72467,0.00025308,0.00025308,0.00025308
20,195.468,0.37327,1.3204,0.80189,0.99341,1,0.995,0.92029,0.3554,3.61129,0.72467,0.00026087,0.00026087,0.00026087
21,205.122,0.38161,1.19638,0.78914,0.99287,1,0.995,0.96204,0.29915,3.36792,0.71192,0.000268,0.000268,0.000268
22,215.023,0.43389,1.23385,0.81023,0.99287,1,0.995,0.96204,0.29915,3.36792,0.71192,0.00027447,0.00027447,0.00027447
23,224.609,0.39887,1.32939,0.8226,0.99298,1,0.995,0.97281,0.29655,3.08159,0.71308,0.00028028,0.00028028,0.00028028
24,234.17,0.39259,1.23924,0.85085,0.99298,1,0.995,0.97281,0.29655,3.08159,0.71308,0.00028543,0.00028543,0.00028543
25,243.65,0.35071,1.00551,0.81933,0.99349,1,0.995,0.96504,0.32165,2.903,0.71288,0.00028992,0.00028992,0.00028992
26,253.252,0.36412,0.92851,0.82373,0.99349,1,0.995,0.96504,0.32165,2.903,0.71288,0.00029375,0.00029375,0.00029375
27,262.863,0.34006,0.9492,0.82969,0.9942,1,0.995,0.97392,0.31886,2.70956,0.72176,0.00029692,0.00029692,0.00029692
28,272.443,0.39691,0.88843,0.81578,0.9942,1,0.995,0.97392,0.31886,2.70956,0.72176,0.00029943,0.00029943,0.00029943
29,282.011,0.29578,0.96415,0.78434,0.99468,1,0.995,0.94814,0.30316,2.5697,0.72057,0.00030128,0.00030128,0.00030128
30,291.581,0.41008,0.86481,0.83855,0.99468,1,0.995,0.94814,0.30316,2.5697,0.72057,0.00030247,0.00030247,0.00030247
31,301.137,0.34093,0.72304,0.77907,0.99465,1,0.995,0.95635,0.28111,2.66691,0.71201,0.000303,0.000303,0.000303
32,310.866,0.28118,0.70376,0.78567,0.99465,1,0.995,0.95635,0.28111,2.66691,0.71201,0.00030287,0.00030287,0.00030287
33,320.522,0.39164,1.03802,0.84769,0.99487,1,0.995,0.95361,0.31133,2.49712,0.72013,0.00030208,0.00030208,0.00030208
34,330.094,0.33292,0.84068,0.85097,0.99487,1,0.995,0.95361,0.31133,2.49712,0.72013,0.00030063,0.00030063,0.00030063
35,339.842,0.34153,0.71171,0.81678,0.99506,1,0.995,0.95726,0.29886,2.30075,0.72834,0.00029852,0.00029852,0.00029852
36,349.396,0.27354,0.80059,0.83506,0.99506,1,0.995,0.95726,0.29886,2.30075,0.72834,0.00029575,0.00029575,0.00029575
37,359.057,0.29966,0.69568,0.82104,0.99444,1,0.995,0.96947,0.28381,2.19759,0.72891,0.00029232,0.00029232,0.00029232
38,368.879,0.36078,0.61592,0.81365,0.99444,1,0.995,0.96947,0.28381,2.19759,0.72891,0.00028823,0.00028823,0.00028823
39,378.451,0.31477,0.58985,0.82953,0.9944,1,0.995,0.92726,0.3163,2.05288,0.75054,0.00028348,0.00028348,0.00028348
40,388.22,0.32717,0.56171,0.83253,0.9944,1,0.995,0.92726,0.3163,2.05288,0.75054,0.00027807,0.00027807,0.00027807
41,397.97,0.30215,0.58044,0.82548,0.99382,1,0.995,0.95504,0.3207,2.00802,0.77107,0.000272,0.000272,0.000272
42,407.573,0.33868,0.7059,0.80348,0.99382,1,0.995,0.95504,0.3207,2.00802,0.77107,0.00026527,0.00026527,0.00026527
43,417.37,0.32122,0.64185,0.8245,0.99692,1,0.995,0.93604,0.33414,2.21107,0.77593,0.00025788,0.00025788,0.00025788
44,426.979,0.275,0.51988,0.8623,0.99692,1,0.995,0.93604,0.33414,2.21107,0.77593,0.00024983,0.00024983,0.00024983
45,436.474,0.33647,0.5256,0.82323,0.99147,1,0.995,0.93124,0.34005,2.10364,0.76925,0.00024112,0.00024112,0.00024112
46,446.046,0.34892,0.53683,0.83634,0.99147,1,0.995,0.93124,0.34005,2.10364,0.76925,0.00023175,0.00023175,0.00023175
47,455.676,0.30667,0.5666,0.79593,0.99399,1,0.995,0.94704,0.3294,1.67327,0.7588,0.00022172,0.00022172,0.00022172
48,465.193,0.28508,0.51258,0.79292,0.99399,1,0.995,0.94704,0.3294,1.67327,0.7588,0.00021103,0.00021103,0.00021103
49,474.855,0.2639,0.55141,0.74981,0.99415,1,0.995,0.94419,0.30958,1.35943,0.76465,0.00019968,0.00019968,0.00019968
50,484.427,0.30657,0.52444,0.81595,0.99415,1,0.995,0.94419,0.30958,1.35943,0.76465,0.00018767,0.00018767,0.00018767
51,494.14,0.26385,0.66269,0.7765,0.99347,1,0.995,0.95913,0.2711,1.20137,0.76922,0.000175,0.000175,0.000175
52,503.867,0.24317,0.65048,0.7839,0.99347,1,0.995,0.95913,0.2711,1.20137,0.76922,0.00016167,0.00016167,0.00016167
53,513.543,0.2357,0.61221,0.78337,0.99347,1,0.995,0.95913,0.2711,1.20137,0.76922,0.00014768,0.00014768,0.00014768
54,523.271,0.22348,0.64273,0.77003,0.99155,1,0.995,0.97607,0.23831,1.10804,0.7659,0.00013303,0.00013303,0.00013303
