epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6874,0.53838,0.68882,0.94884,0.99475,1,0.995,0.98431,0.22618,0.30489,0.67928,4e-05,4e-05,4e-05
2,38.574,0.28753,0.34126,0.79758,0.99509,1,0.995,0.995,0.24485,0.31395,0.6791,9.67e-05,9.67e-05,9.67e-05
3,57.1135,0.30487,0.39348,0.87006,0.99505,1,0.995,0.98458,0.23981,0.30936,0.67886,0.00014944,0.00014944,0.00014944
4,75.5168,0.30655,0.33809,0.77114,0.99489,1,0.995,0.995,0.21715,0.30685,0.67483,0.00019822,0.00019822,0.00019822
5,93.655,0.30184,0.33123,0.8168,0.99285,1,0.995,0.98137,0.23609,0.3315,0.70179,0.00024304,0.00024304,0.00024304
6,112.031,0.40064,0.44592,0.86755,0.99382,1,0.995,0.98227,0.26957,0.33829,0.70726,0.0002839,0.0002839,0.0002839
7,130.173,0.34022,0.37805,0.79677,0.99392,1,0.995,0.96988,0.27807,0.3542,0.70381,0.0003208,0.0003208,0.0003208
8,148.637,0.41229,0.4771,0.87389,0.99447,1,0.995,0.97405,0.29707,0.36517,0.70317,0.00035374,0.00035374,0.00035374
9,167.401,0.43494,0.57194,0.82223,0.99491,1,0.995,0.97773,0.29598,0.35144,0.71076,0.00038272,0.00038272,0.00038272
10,185.862,0.29934,0.33494,0.83729,0.99452,1,0.995,0.995,0.28561,0.35106,0.71186,0.00040774,0.00040774,0.00040774
11,204.153,0.3455,0.36421,0.89232,0.90717,1,0.995,0.91014,0.40386,1.13358,0.78634,0.0004288,0.0004288,0.0004288
12,222.84,0.38629,0.46657,0.83276,1,0.99859,0.995,0.88672,0.49584,0.99348,0.82692,0.0004459,0.0004459,0.0004459
13,241.409,0.33618,0.35232,0.73893,0.97557,1,0.995,0.95525,0.36291,0.51688,0.74698,0.00045904,0.00045904,0.00045904
14,259.861,0.21703,0.52973,0.53656,0.99096,1,0.995,0.96534,0.35858,0.44652,0.74157,0.00046822,0.00046822,0.00046822
15,278.185,0.36508,0.37326,0.83991,1,0.87899,0.97833,0.82501,0.57861,0.69247,0.80764,0.00047344,0.00047344,0.00047344
16,296.448,0.4265,0.39657,0.84822,0.913,0.9,0.97833,0.8545,0.50082,0.77665,0.80338,0.0004747,0.0004747,0.0004747
17,315.045,0.3238,0.36872,0.80368,0.97829,1,0.995,0.97703,0.28981,0.59075,0.74867,0.000472,0.000472,0.000472
18,333.489,0.31922,0.4393,0.85246,0.98461,1,0.995,0.98203,0.23573,0.54828,0.73247,0.00046534,0.00046534,0.00046534
19,352.016,0.31606,0.40155,0.85422,0.98841,1,0.995,0.98504,0.2425,0.45174,0.73211,0.00045472,0.00045472,0.00045472
20,370.318,0.25716,0.56572,0.82522,0.99051,1,0.995,0.995,0.23809,0.39138,0.72974,0.00044014,0.00044014,0.00044014
21,389.077,0.29899,0.34899,0.77418,0.99341,1,0.995,0.995,0.22514,0.35745,0.7255,0.0004216,0.0004216,0.0004216
22,407.476,0.32134,0.29861,0.7689,0.9945,1,0.995,0.97552,0.22836,0.33831,0.72814,0.0003991,0.0003991,0.0003991
23,426.019,0.22279,0.30619,0.76614,0.99465,1,0.995,0.9757,0.23155,0.32329,0.73874,0.00037264,0.00037264,0.00037264
24,444.407,0.25629,0.2667,0.72271,0.99488,1,0.995,0.97591,0.23397,0.31513,0.7437,0.00034222,0.00034222,0.00034222
25,462.972,0.25669,0.32589,0.77611,0.99509,1,0.995,0.995,0.23867,0.32078,0.76059,0.00030784,0.00030784,0.00030784
26,481.88,0.26296,0.29589,0.7897,0.99514,1,0.995,0.995,0.24363,0.31244,0.76262,0.0002695,0.0002695,0.0002695
27,500.543,0.24385,0.3138,0.83995,0.99519,1,0.995,0.97813,0.23493,0.30512,0.75871,0.0002272,0.0002272,0.0002272
28,519.422,0.2704,0.25862,0.81125,0.99512,1,0.995,0.96333,0.2385,0.30072,0.75339,0.00018094,0.00018094,0.00018094
29,538.941,0.2367,0.27704,0.81588,0.99512,1,0.995,0.96333,0.2385,0.30072,0.75339,0.00013072,0.00013072,0.00013072
30,558.08,0.26884,0.25767,0.77041,0.99526,1,0.995,0.96423,0.23742,0.30002,0.75317,7.654e-05,7.654e-05,7.654e-05
